,headline,dominant_emotion,cause,cause_span,start_index,end_index,emotion_label
4807,"malkin: epstein, bean & buck: the democratic donors' sex-creep club",shame,"[[""the democratic donors' sex-creep club""]]",the democratic donors' sex-creep club,14,21,13
1285,mueller reminds the public: trump betrayed the united states,anger,"[[""trump betrayed the united states""]]",trump betrayed the united states,8,13,0
694,chinese soldiers think it’s impressive and intimidating to jump into some mud,fear,"[[""think it’s impressive and intimidating to jump into some mud""]]",think it’s impressive and intimidating to jump into some mud,4,15,3
3610,the atlantic: sure looks like mh-370 disappearance was pilot suicide,negative_surprise,"[[""sure looks like mh-370 disappearance was pilot suicide""]]",sure looks like mh-370 disappearance was pilot suicide,6,16,8
4984,the latest: prosecutors want cruise ship captain arrested,negative_anticipation_including_pessimism,"[[""the latest: prosecutors want cruise ship captain arrested""]]",the latest: prosecutors want cruise ship captain arrested,1,9,7
4720,protesters belt out les miserables song in front of police headquarters,pride,"[[""police headquarters"",""les miserables song in front of police headquarters""]]",police headquarters,11,12,11
348,u.s. secretary of state mike pompeo says 'several' americans have been killed in the easter sunday b,sadness,"[[""'several' americans have been killed in the easter sunday b""]]",'several' americans have been killed in the easter sunday b,15,30,12
2561,russian and u.s. navy ships narrowly avoid collision in philippine sea,fear,"[[""avoid collision""]]",avoid collision,12,13,3
690,canadian commentators criticize u.s. team for celebrating world cup rout,anger,"[[""for celebrating world cup rout""]]",for celebrating world cup rout,12,17,0
2778,"evicted man, 53, jailed on $4,000 bond and charged with animal cruelty for leaving pet fish behind",negative_anticipation_including_pessimism,"[[""animal cruelty for leaving pet fish behind""]]",animal cruelty for leaving pet fish behind,17,23,7
4416,live updates: firefights in venezuelan capital as military uprising ensues,anger,"[[""military uprising ensues""]]",military uprising ensues,15,19,0
681,bloomberg op-ed suggests iran tanker attack was a false flag,negative_anticipation_including_pessimism,"[[""iran tanker attack was a false flag""]]",iran tanker attack was a false flag,8,15,7
3111,bodycams improperly used in police shooting of woman near yale,disgust,"[[""improperly used in police shooting of woman near yale""]]",improperly used in police shooting of woman near yale,4,15,2
1155,the democrats' dumb war against charter schools,anger,"[[""war against charter schools""]]",war against charter schools,6,9,0
3840,dutch police arrest suspected gunman in utrecht shooting that left 3 dead,guilt,"[[""arrest suspected gunman in utrecht shooting that left 3 dead""]]",arrest suspected gunman in utrecht shooting that left 3 dead,4,16,4
4799,"fbi lawyer squeals like a pig: implicates comey, mccabe, and yates for mishandling of fisa warrant",disgust,"[[""mishandling of fisa warrant""]]",mishandling of fisa warrant,25,31,2
2092,tyra banks on why it’s important for her to hire women of color as an entrepreneur,positive_anticipation_including_optimism,"[[""her to hire""],[""hire""],[""it’s important for her to hire""],[""hire women of color as an entrepreneur""]]",her to hire,11,13,9
4549,el paso has exposed the ugly reality of the “immigration debate”,negative_surprise,"[[""ugly reality of the “immigration debate”""]]",ugly reality of the “immigration debate”,8,15,8
1686,jeremy hunt says pursuing a no-deal brexit would be ‘suicide’ for tories,negative_anticipation_including_pessimism,"[[""brexit would be ‘suicide’ for tories""]]",brexit would be ‘suicide’ for tories,11,21,7
4420,"migrant apprehensions at border hit 144k in may, says cbp",fear,"[[""migrant apprehensions at border""]]",migrant apprehensions at border,1,6,3
2556,pope francis: climate crisis ‘leading the world towards disaster’,fear,"[[""climate crisis ‘leading the world towards disaster’""]]",climate crisis ‘leading the world towards disaster’,6,14,3
2271,"deutsche bank axe hovers over 1,000 clients",negative_anticipation_including_pessimism,"[[""axe hovers over 1,000 clients""]]","axe hovers over 1,000 clients",5,12,7
4444,u.s.-iran tensions rise ahead of anniversary of deal pullout,negative_anticipation_including_pessimism,"[[""tensions rise ahead of anniversary of deal pullout""]]",tensions rise ahead of anniversary of deal pullout,8,16,7
726,golf: bethpage black turns into beast in windy final round at pga,pride,"[[""turns into beast in windy final round at pga""]]",turns into beast in windy final round at pga,7,17,11
2885,to hold but not to have: california's marijuana laws get weird when you're in jail,negative_surprise,"[[""when you're in jail""]]",when you're in jail,19,24,8
118,record number of african migrants are now showing up at the u.s.-mexico border,negative_surprise,"[[""are now showing up at the u.s.-mexico border""]]",are now showing up at the u.s.-mexico border,9,23,8
3081,"nigeria’s small businesses want government help, but corruption is draining it away",sadness,"[[""want government help, but corruption is draining it away""]]","want government help, but corruption is draining it away",8,17,12
772,lies about iran killing us troops in iraq are a ploy to justify war,anger,"[[""ploy to justify war""]]",ploy to justify war,14,18,0
4790,'extremely serious' death threat against ben shapiro leads to arrest,fear,"[[""leads to arrest""]]",leads to arrest,13,15,3
178,trump doesn't know a thing about baltimore,disgust,"[[""thing about baltimore""]]",thing about baltimore,8,13,2
3468,"detained, abused & denied medical care: how trump immigration policies led to child deaths at border",disgust,"[[""trump immigration policies led to child deaths at border""]]",trump immigration policies led to child deaths at border,10,19,2
3746,nucor downgraded to hold from buy at cfra,annoyance,"[[""downgraded to hold from buy at cfra""]]",downgraded to hold from buy at cfra,4,12,1
1624,"big news: aoc’s chief of staff, comms director to leave her office",shame,"[[""comms director to leave her office""]]",comms director to leave her office,12,18,13
4672,house passes $17 billion disaster-aid package over trump’s objections,positive_surprise,"[[""disaster-aid package""]]",disaster-aid package,6,9,10
1474,michael avenatti seeks vengeance on jacob wohl,anger,"[[""vengeance on jacob wohl""]]",vengeance on jacob wohl,9,16,0
2379,a green new deal needs to fight us militarism,negative_anticipation_including_pessimism,"[[""us militarism""]]",us militarism,8,12,7
4974,kevin spacey questioned by london police over uk sex assault claims,negative_surprise,"[[""questioned by london police over uk sex assault claims""]]",questioned by london police over uk sex assault claims,6,15,8
1074,new mexico militia detains migrants at gunpoint in social media,annoyance,"[[""detains migrants at gunpoint in social media""]]",detains migrants at gunpoint in social media,6,14,1
4541,college costs are out of control. here’s what can be done.,negative_surprise,"[[""college costs are out of control""]]",college costs are out of control,1,6,8
4687,people are picking up trash for a new internet challenge,positive_surprise,"[[""a new internet challenge""]]",a new internet challenge,7,10,10
1479,"mueller found no trump collusion with russia, not enough evidence for obstruction: barr",negative_surprise,"[[""not enough evidence for obstruction: barr""]]",not enough evidence for obstruction: barr,16,25,8
302,"more winning: gm announces $700 million investment in ohio, hiring 450 workers",positive_surprise,"[[""gm announces $700 million investment in ohio, hiring 450 workers""]]","gm announces $700 million investment in ohio, hiring 450 workers",4,17,10
3080,new mexico city asks for donations after more migrants dropped off,sadness,"[[""asks for donations after more migrants dropped off""]]",asks for donations after more migrants dropped off,6,13,12
2799,in poor countries technology can make big improvements to education,positive_anticipation_including_optimism,"[[""technology can make big improvements to education""]]",technology can make big improvements to education,4,10,9
1376,british airways suspends cairo flights as security precaution,anger,"[[""british airways suspends cairo flights as security precaution"",""cairo flights as security precaution""]]",british airways suspends cairo flights as security precaution,1,16,0
1400,dear pepper: trouble with two friends,love_including_like,"[[""trouble with two friends""]]",trouble with two friends,4,7,6
1386,chelsea manning warns that trump will go after journalists with “indictments and charges”,negative_surprise,"[[""will go after journalists with “indictments and charges”""]]",will go after journalists with “indictments and charges”,10,20,8
2669,trump’s immigration deal with mexico is a nothingburger,negative_anticipation_including_pessimism,"[[""immigration deal with mexico is a nothingburger""]]",immigration deal with mexico is a nothingburger,5,15,7
1169,the un human rights council’s lousy election,sadness,"[[""council’s lousy election""]]",council’s lousy election,5,11,12
22,fbi’s leniency toward border vigilante contrasts with harsh treatment of “black identity extremist”,disgust,"[[""contrasts with harsh treatment of “black identity extremist”""]]",contrasts with harsh treatment of “black identity extremist”,13,24,2
