,headline,dominant_emotion,cause,cause_span,start_index,end_index
2274,"elton john blasts brexit: 'i am a european – not a stupid, imperialist english idiot'",anger,"[[""not a stupid, imperialist english idiot"",""'i am a european – not a stupid, imperialist english idiot'""]]","not a stupid, imperialist english idiot",20,29
2512,"even in defeat, isis' ideology inspires mass murder",fear,"[[""mass murder""]]",mass murder,11,12
2629,heavy rains in japan cause deadly landslides and floods,fear,"[[""cause deadly landslides and floods""]]",cause deadly landslides and floods,7,12
3892,u.s. military contractor found alive after he was reported killed in afghan bombing,positive_surprise,"[[""found alive after he was reported killed""]]",found alive after he was reported killed,7,13
4501,the brexit party arrives in the european parliament,positive_surprise,"[[""european parliament""]]",european parliament,9,12
3261,‘he’s got his own style.’ handsome goat is one of the most stylish guys to grace your eyeballs lately,joy,"[[""grace your eyeballs lately""]]",grace your eyeballs lately,23,27
3238,"thousands of pieces of glass spread at michigan beach with 'malicious intent,' officials say",negative_surprise,"[[""thousands of pieces of glass spread at michigan beach""]]",thousands of pieces of glass spread at michigan beach,1,11
3616,the mueller report is coming. but there’s one big caveat.,negative_anticipation_including_pessimism,"[[""but there’s one big caveat.""]]",but there’s one big caveat.,9,17
1676,"in case you missed it: bubbles, babies and celebrity horses",positive_surprise,"[[""in case you missed it: bubbles, babies and celebrity horses""]]","in case you missed it: bubbles, babies and celebrity horses",1,12
45,house conservatives form new ‘anti-socialism caucus’,negative_surprise,"[[""new ‘anti-socialism caucus’""]]",new ‘anti-socialism caucus’,5,11
4049,don't blame me for axing special olympics federal funding says trump as he reverses decision,sadness,"[[""axing special olympics federal""]]",axing special olympics federal,7,14
1958,this high school opens its doors every friday night to keep students off the streets,love_including_like,"[[""off the streets""]]",off the streets,15,17
2025,senators to consumer watchdog: prove you're protecting student borrowers,anger,"[[""prove you're protecting student borrowers""]]",prove you're protecting student borrowers,7,14
344,trump says he is confident mexico will enforce new immigration deal,positive_surprise,"[[""he is confident mexico will enforce new immigration deal""]]",he is confident mexico will enforce new immigration deal,4,14
986,federal subsidies for insured people under age 65 will total $737 billion this year: cbo,love_including_like,"[[""total $737 billion this""]]",total $737 billion this,11,15
4778,the inevitable emptiness of the 2019 met gala,sadness,"[[""2019 met gala""]]",2019 met gala,6,9
3329,gillibrand: it should not have been 'so hard' for biden to apologize -- we need a candidate with 'humility',shame,"[[""we need a candidate with""]]",we need a candidate with,22,26
1126,sarah huckabee sanders embarks on media tour to defend her lies,negative_surprise,"[[""embarks on media tour to defend her lies""]]",embarks on media tour to defend her lies,9,18
2977,woman jumps out of her car to rescue a child running in traffic,positive_surprise,"[[""jumps out of her car to rescue a child running in traffic""]]",jumps out of her car to rescue a child running in traffic,2,13
4279,the european union is an antidemocratic disgrace,shame,"[[""is an antidemocratic disgrace""]]",is an antidemocratic disgrace,6,15
3916,cnn's attack on mueller begins: no ruling on obstruction 'atrocious',negative_surprise,"[[""no ruling on obstruction 'atrocious'""]]",no ruling on obstruction 'atrocious',12,22
3269,"1 million animal and plant species are at risk of extinction, u.n. report says",sadness,"[[""are at risk of extinction, u.n. report says""]]","are at risk of extinction, u.n. report says",7,18
4562,hawkish democrat rep. eliot engel is facing two primary challengers,negative_surprise,"[[""two primary challengers""]]",two primary challengers,14,17
1340,#backpoch: tottenham fans urge daniel levy to back boss mauricio pochettino,anger,"[[""tottenham fans urge daniel levy to back boss mauricio pochettino""]]",tottenham fans urge daniel levy to back boss mauricio pochettino,6,25
1866,jones raises only 12 percent from alabama residents in first quarter,negative_surprise,"[[""raises only 12 percent from alabama residents in first quarter""]]",raises only 12 percent from alabama residents in first quarter,3,14
4595,raytheon and united technologies are merging to create ‘military-industrial behemoth’,negative_surprise,"[[""create ‘military-industrial behemoth’""]]",create ‘military-industrial behemoth’,9,17
427,facebook emails reveal that mark zuckerberg doesn’t care about your privacy,negative_anticipation_including_pessimism,"[[""doesn’t care about your privacy""]]",doesn’t care about your privacy,10,16
4831,coming soon: samantha power’s unmasking campaign linked to obama’s deep hatred of israel,negative_surprise,"[[""unmasking campaign linked to obama’s deep hatred of israel""]]",unmasking campaign linked to obama’s deep hatred of israel,10,26
175,triciabiz launches online business school for entrepreneurs in africa,annoyance,"[[""launches online business school for entrepreneurs in africa""]]",launches online business school for entrepreneurs in africa,6,15
4239,"judge napolitano says americans should be troubled by 'amoral, deceptive' trump exposed in mueller report",negative_surprise,"[[""should be troubled by 'amoral, deceptive' trump exposed in mueller report""]]","should be troubled by 'amoral, deceptive' trump exposed in mueller report",9,27
3105,and now the mueller backlash begins,anger,"[[""and now the mueller""]]",and now the mueller,1,6
4936,slack is ruining my life and i love it,love_including_like,"[[""slack is ruining my life and i love it""]]",slack is ruining my life and i love it,1,10
1325,virginia beach gunman dewayne craddock quit job hours before massacre,disgust,"[[""quit job hours before massacre""]]",quit job hours before massacre,11,15
2323,outrage over arizona man who killed teen for listening to rap music,anger,"[[""outrage over arizona man who killed teen for listening to rap music""]]",outrage over arizona man who killed teen for listening to rap music,1,14
4745,"ex-headteacher, 65, stricken by motor neurone disease prepares to end his life at dignitas",sadness,"[[""prepares to end his life at dignitas""]]",prepares to end his life at dignitas,15,23
4978,nymex june oil futures end 4 cents lower at $61.66 a barrel,negative_surprise,"[[""oil futures end 4 cents lower at $61.66 a barrel""]]",oil futures end 4 cents lower at $61.66 a barrel,6,19
2754,cartoon: a lack of common census,disgust,"[[""a lack of common census""]]",a lack of common census,3,7
2198,"trump unleashed: paul ryan 'weak, ineffective & stupid,' 'almost killed' republican party",anger,"[[""weak, ineffective & stupid,' 'almost killed' republican party""]]","weak, ineffective & stupid,' 'almost killed' republican party",11,23
57,indian election: narendra modi’s bjp tipped for victory,positive_anticipation_including_optimism,"[[""narendra modi’s bjp tipped for victory""]]",narendra modi’s bjp tipped for victory,5,18
2170,new zealand shooting referenced in new series of anti-muslim attacks,fear,"[[""referenced in new series of anti-muslim""],[""new series of anti-muslim attacks""]]",referenced in new series of anti-muslim,6,15
3317,european nations won’t sanction iran yet for violating nuclear deal,negative_surprise,"[[""iran yet for violating nuclear deal"",""won’t sanction iran yet for violating nuclear deal""]]",iran yet for violating nuclear deal,11,17
77,let’s look in on the democratic socialist convention and see how it’s going,annoyance,"[[""see how it’s going""]]",see how it’s going,12,17
3415,trump sues to block new york from releasing his tax returns,negative_surprise,"[[""releasing his tax returns""]]",releasing his tax returns,11,14
993,four things you can do today to fight voter suppression,anger,"[[""fight voter suppression""]]",fight voter suppression,8,10
1386,chelsea manning warns that trump will go after journalists with “indictments and charges”,negative_surprise,"[[""will go after journalists with “indictments and charges”""]]",will go after journalists with “indictments and charges”,10,20
2685,conjoined twin sisters successfully separated and canand#039;t stop snuggling,joy,"[[""t stop snuggling""]]",t stop snuggling,15,20
1499,"prices for top-selling drugs soared over 6 years, study finds",negative_anticipation_including_pessimism,"[[""prices for top-selling drugs""]]",prices for top-selling drugs,1,6
2946,long-running feud between princes william and harry ended weeks ago,positive_surprise,"[[""feud between princes william and harry ended weeks ago"",""long-running feud""]]",feud between princes william and harry ended weeks ago,4,14
